40.0588744 -106.3889199	Kremmling,CO
44.12144 -76.2416011	Rosiere,NY
32.4237522 -95.9777461	Phalba,TX
20.9008333 -156.665	Crater Village,HI
37.8267459 -84.5043822	Mount Lebanon,KY
40.0975108 -99.3620427	Alma,NE
39.6287117 -77.0644266	Allandale,MD
32.9628713 -102.2546231	Adair,TX
44.6755521 -87.6120387	Rosiere,WI
48.0857364 -117.0457573	Tweedie,WA
40.9092277 -77.7811126	Big Spring,PA
33.8767333 -106.7275176	Old Carthage,NM
42.5286261 -88.9592753	Porters,WI
35.37591 -87.0319511	Waco,TN
36.1823602 -80.3381077	Bethania,NC
30.0229902 -99.116429	Legion,TX
39.7570565 -75.6621523	Highland West,DE
35.6970547 -82.5606851	Weaverville,NC
36.4034878 -76.7530098	Gatesville,NC
45.7292732 -123.9406913	Neahkahnie Beach,OR
31.4901726 -90.4478738	Thayer,MS
40.543954 -80.6400739	Port Homer,OH
40.2417372 -80.2125584	Moninger,PA
45.540396 -122.6520401	Irvington,OR
37.4823334 -81.8170595	Johnnycake,WV
40.7617653 -73.3292858	Deer Park,NY
38.6051206 -76.5143985	Carpenter Beach,MD
27.8550273 -81.9709176	Pine Dale,FL
36.7895932 -76.1246568	Salem,VA
44.7464354 -73.1129158	Hubbard Corner,VT
48.7468003 -120.8181679	Cedar Crossing,WA
40.1744363 -94.8238577	Barnard,MO
42.0620415 -71.6703447	Halfway House,MA
43.7305279 -96.4919872	Oak Park Estates,SD
21.3425 -158.0402778	‘Ewa,HI
40.6388363 -111.9138248	River Oaks,UT
33.5315061 -88.3161478	Melco Subdivision,MS
39.6803816 -76.7291399	Eklo,MD
36.2058907 -87.6583521	Silvertop,TN
33.7048263 -95.6291267	Hopewell,TX
40.6724474 -111.7974327	Oakcliff Park,UT
45.4660753 -98.2125969	James,SD
45.2424847 -100.567919	Virginia,SD
39.4339901 -77.5510992	Middletown South,MD
46.2320775 -119.7683669	North Prosser,WA
33.1909581 -90.3848098	Mathena,MS
30.0174357 -98.9769814	Cypress Creek,TX
39.5825603 -84.0160439	Roxanna,OH
32.5682197 -81.9923397	Aaron,GA
39.7108556 -93.3157637	Fountain Grove,MO
38.3816884 -93.4554853	Palo Pinto,MO
40.8684202 -76.0296512	Lofty,PA
42.3900347 -85.9939137	Berlamont,MI
26.2772934 -98.3614056	Basham Number 4 Colonia,TX
36.8353674 -83.0309995	Monarch,VA
41.1141106 -112.0146648	Terrace View,UT
40.2709027 -80.7814725	Smithfield,OH
42.656697 -83.7530022	Hartland,MI
18.104961 -66.6621179	Hacienda Batíz,PR
36.255334 -88.0019783	Faxon,TN
43.1859199 -70.7442213	Brixham,ME
40.6117333 -79.774216	Broadview,PA
47.2971571 -92.8310247	Little Swan,MN
43.0753448 -75.9910302	Snyder Crossing,NY
40.4959379 -74.4243178	Highland Park,NJ
31.4123837 -99.15755	Mercury,TX
37.2378681 -83.674083	Hensley,KY
41.1621662 -112.0488315	Par Four,UT
46.1851096 -123.5859674	Knappa,OR
39.7834028 -81.9087471	Stone,OH
36.3487575 -78.3041619	Cokesbury,NC
38.5853983 -76.6677399	Abington Shores,MD
41.9892343 -77.8658312	Genesee,PA
34.2639293 -110.9009598	Colcord Mountain Estates,AZ
35.8904227 -79.0441775	Farrington Hills,NC
32.4401519 -83.788239	Neal,GA
42.3470179 -76.541054	Stratton,NY
42.6556427 -71.9828559	Old North Ashburnham Station,MA
37.3967129 -92.8448978	Niangua Junction,MO
38.9981653 -77.2883157	Great Falls,VA
44.0716876 -84.1930547	Hard Luck,MI
35.452864 -93.889643	Poping,AR
38.5540743 -122.5105364	Bale,CA
41.5078135 -87.4714281	Hartsdale,IN
36.7973715 -76.6052302	Kings Crossing,VA
38.6898395 -77.4533205	Bell Forest,VA
33.7216843 -118.0375615	Sea Breeze Trailer Park,CA
35.8681363 -84.0696329	Farmington,TN
40.6631242 -77.6766619	Barrville,PA
39.9494537 -99.5359389	Long Island,KS
34.140449 -77.9030416	Marquis Hills,NC
45.7332635 -111.0618927	Springhill Park,MT
39.3986852 -81.6648516	Barlow,OH
29.8402049 -90.9884312	Georgia,LA
36.4570064 -90.8415095	Supply,AR
39.0657414 -119.9385161	Logan Creek Estates,NV
39.3959355 -77.4060965	Evergreen Point,MD
35.1204324 -79.5580948	Narrow Ridge,NC
40.6362146 -73.6815194	Hewlett Harbor,NY
37.1182002 -76.3677228	Cedar Landing Estates,VA
38.6437289 -76.9435843	Ashford,MD
39.4006299 -81.4481766	Williamstown,WV
47.0978172 -68.5903229	Plaisted,ME
39.6348245 -76.9005343	Dayspring Estates,MD
33.9093237 -80.4123045	Sanders Subdivision,SC
36.5853217 -86.8258307	Youngville,TN
33.9048936 -78.8405799	Red Bluff Crossroads,SC
44.8508798 -72.9443026	Saint Rocks,VT
31.7390497 -85.8293907	Pierson Subdivision,AL
41.4673997 -118.3529344	Happy Creek Station,NV
33.6720505 -87.0666648	Quinton,AL
30.0827039 -84.3871216	Medart,FL
47.9046033 -118.3091542	Fort Spokane,WA
41.4930916 -87.4175379	New Elliott,IN
39.0148301 -77.9649963	Ashby Gap Estates,VA
36.3067475 -83.760188	Rose Hill,TN
37.9920173 -86.017465	Pilcher Landing,KY
47.4762115 -122.1481758	Maplewood Heights,WA
42.1322222 -87.8180556	Chapel Hill Estates,IL
39.397881 -76.9955354	Candlewick,MD
37.3931916 -75.9443766	Solitude Trails,VA
38.0384105 -84.5421623	Gardenside,KY
41.9584257 -73.4934565	State Line,NY
39.4663857 -97.2019703	Morganville,KS
37.9792323 -85.712459	Salt River,KY
47.5972143 -97.8939815	Sharon,ND
18.0244084 -66.2512789	Sabana Llana,PR
36.7797776 -89.3856298	East Prairie,MO
37.1469962 -90.3703895	Burbank,MO
40.025272 -94.9735836	Fillmore,MO
41.8436841 -77.2744202	Middlebury Center,PA
36.2232041 -78.2836055	Lake View,NC
40.4538703 -106.1814128	Rand,CO
38.8867343 -84.0918769	Mount Olive,OH
33.4269867 -112.352102	Byrds Mobile Park,AZ
40.6953437 -80.3047846	Beaver,PA
39.1820483 -77.9719415	Longmarsh Acres,VA
29.7385099 -104.0540851	Casa Piedra,TX
47.1888847 -99.0806682	Vashti,ND
31.7609976 -91.5895665	Mayhew Landing,LA
41.0672208 -96.326404	Beacon View,NE
35.9640256 -80.5028357	Smith Grove,NC
40.9589736 -76.899133	Linntown,PA
39.8767065 -92.0240623	Bethel,MO
34.1659425 -83.1704276	Dalton,GA
37.6176369 -79.2914203	Pera,VA
45.6855679 -84.5369836	Pries Landing,MI
42.7036844 -75.2037749	Robinson Corners,NY
38.3844921 -87.9114204	Bellmont,IL
42.1191667 -87.7894444	Homefinders,IL
41.6311111 -88.1661111	Cambridge Place,IL
41.4553716 -74.2626503	Campbell Hall,NY
32.4665315 -84.9221529	Rosewood,GA
38.1129139 -78.3713974	Stony Point,VA
39.2478446 -82.7929499	Vigo,OH
36.100914 -94.4804945	Trident,AR
39.0997266 -94.5785667	Kansas City,MO
37.3752801 -107.5839466	Vallecito,CO
45.8667806 -122.8867723	Yankton,OR
44.6400507 -72.6615081	East Johnson,VT
37.0835594 -121.7891183	Sveadal,CA
18.4449462 -66.7546199	Las Cunetas,PR
41.9926652 -120.2971776	New Pine Creek,CA
30.3221381 -91.2248299	Morrisonville,LA
39.8878264 -90.0078907	Ashland,IL
36.5892332 -85.0999533	Parker,TN
28.3225014 -97.8711112	Clareville,TX
37.2191859 -103.6116159	Tobe,CO
46.5085066 -116.5509813	Lenore,ID
44.7986752 -69.3586591	Dogtown,ME
33.6301027 -86.5988755	Cahaba Crest,AL
40.5575643 -80.7070212	Hammondsville,OH
31.7339802 -109.8297941	Gleeson,AZ
39.1648306 -76.6344112	Willowdale,MD
33.5662226 -84.4177039	Cedar Hill Estates,GA
32.4576239 -99.8714811	Tye,TX
39.5381598 -76.8094211	Pleasant Run,MD
45.5072322 -84.9144969	Pleasant View,MI
34.9992153 -106.1911369	Martinez,NM
36.2597862 -90.1217626	West Kennett,AR
39.2078898 -75.5696479	Marker Estates,DE
31.0877077 -82.8048642	Fivemile Still,GA
37.5656795 -80.4897881	Gates,WV
37.8020498 -81.931233	Lyburn,WV
39.4464409 -89.7809301	Girard,IL
27.521705 -82.5275963	Ellenton,FL
65.1122222 -147.4772222	Chatanika,AK
41.344774 -83.7971603	Weston,OH
34.7350859 -84.2807508	Big Creek,GA
32.8292783 -99.9953768	Radium,TX
40.3492361 -80.1606125	Cuddy Hill,PA
30.9151837 -91.7892849	Jacoby,LA
39.92 -75.514	Carriages at Cobblestones,PA
41.6441667 -88.2494444	Shenandoah,IL
37.519591 -77.3922036	Montrose Heights,VA
42.1447475 -88.1556336	Barrington Hills,IL
18.3193983 -65.6607171	Boulevarda Roosevelt,PR
38.5098447 -76.62107	Valley Lee,MD
35.710903 -86.2727709	Big Springs,TN
32.5562474 -97.5491896	Winscott,TX
34.7498181 -89.0528437	Shady Grove,MS
33.700955 -83.5482225	Malcolms Store,GA
43.8522879 -74.9512909	Woods Lake,NY
48.1677503 -111.9414076	Sunrise Trailer Court,MT
35.3096077 -76.9541098	Jones Store,NC
40.1409052 -79.5464275	Ridge View,PA
31.0982495 -94.2160289	Parker Point,TX
32.7882322 -80.0209248	Dupont Station,SC
39.5639959 -76.3244033	Village of Thomas Run,MD
45.961392 -103.1193392	Haley,ND
35.0148143 -90.6378847	Burnt Cane,AR
37.0287552 -79.432249	Brights,VA
37.8806026 -87.2150011	Eureka,IN
43.275642 -70.582831	Moody Beach,ME
33.5187201 -95.2824488	Shadowland,TX
33.0212409 -89.688413	McAdams,MS
30.3807567 -97.9519562	Buffalo Gap,TX
29.4568582 -103.7760239	Tres Papalotes,TX
30.2788058 -91.1306605	Sunshine,LA
34.8246047 -77.229399	Morton Fork,NC
43.6661802 -75.9113063	Plantz Corners,NY
34.5703337 -107.4455971	Pino Place,NM
30.4890784 -91.0487151	Monticello,LA
37.6078166 -96.0280426	Fall River,KS
39.8867127 -91.3801492	Sheridan Estates,IL
43.9534597 -122.7125682	Winberry,OR
35.3439734 -91.3576287	Negro Head Corner,AR
38.7756711 -76.6830205	Pindell,MD
36.3257833 -119.1053837	Merryman,CA
32.3606999 -95.8485769	Walton,TX
36.4095066 -89.9337008	Dunn,MO
28.8288794 -81.7006314	Mount Homer,FL
39.008059 -97.8755983	Tescott,KS
36.5632054 -77.6585933	Slates Corner,VA
42.2274215 -111.98329	Coulam,ID
36.6682045 -77.6874857	Harris Crossroads,VA
38.0225777 -84.4593816	Idle Hour,KY
41.3166087 -111.9624421	Protzman,UT
40.4083769 -85.2749714	Millgrove,IN
37.0858333 -76.4302778	Newgate Village,VA
31.5379472 -89.7950766	Carson,MS
33.8431795 -82.5304092	Curry Hill,GA
40.6841131 -112.017995	Thompson Acres,UT
36.9664449 -88.6719947	Saint Johns,KY
40.3836524 -89.5853813	Holmes,IL
37.6785423 -118.4037274	Hammil,CA
37.8333863 -89.8859422	Lithium,MO
45.2767726 -123.8265055	Beaver,OR
48.099265 -122.1487495	North Marysville,WA
47.5984335 -122.0817879	Mint Grove,WA
36.2065472 -76.1740972	Old Weeksville,NC
40.0573383 -74.2198655	Seven Stars,NJ
34.3754323 -79.9758987	Auburn,SC
39.6338011 -119.2854477	Wadsworth,NV
